Горно-Алтайск;МСК+4;UTC+7;Орбита 3;channel_id=000000088;Орбита 4;channel_id=000001129;Спутник 4;channel_id=000000081;Дубль 2;channel_id=000000068;Дубль 3;channel_id=000000098;>СТС (+4)<;channel_id=000001561;>ТНТ (+4)<;channel_id=000001423;>Карусель (+3)<;channel_id=000001426
Грозный;МСК;UTC+3;БАЗОВЫЙ;channel_id=000000004;БАЗОВЫЙ;channel_id=000000089;БАЗОВЫЙ;channel_id=000000002;БАЗОВЫЙ;channel_id=000000066;БАЗОВЫЙ;channel_id=000000095;>СТС<;channel_id=000000107;>ТНТ<;channel_id=000000121;>Карусель<;channel_id=000000157
Екатеринбург;МСК+2;UTC+5;Орбита 4;channel_id=000000005;Орбита 2;channel_id=000000533;Спутник 2;channel_id=000000080;Дубль 3;channel_id=000000069;Дубль 4;channel_id=000000099;>СТС (+2)<;channel_id=000001467;>ТНТ (+2)<;channel_id=000000121;>Карусель (+2)<;channel_id=000001459
Иваново;МСК;UTC+3;БАЗОВЫЙ;channel_id=000000004;БАЗОВЫЙ;channel_id=000000089;БАЗОВЫЙ;channel_id=000000002;БАЗОВЫЙ;channel_id=000000066;БАЗОВЫЙ;channel_id=000000095;>СТС<;channel_id=000000107;>ТНТ<;channel_id=000000121;>Карусель<;channel_id=000000157
Ижевск;МСК+1;UTC+4;БАЗОВЫЙ;channel_id=000000004;БАЗОВЫЙ;channel_id=000000089;БАЗОВЫЙ;channel_id=000000002;БАЗОВЫЙ;channel_id=000000066;БАЗОВЫЙ;channel_id=000000095;>СТС (+1)<;channel_id=000001621;>ТНТ<;channel_id=000000121;>Карусель<;channel_id=000000157
Иркутск;МСК+5;UTC+8;Орбита 3;channel_id=000000088;Орбита 4;channel_id=000001129;Спутник 4;channel_id=000000081;Дубль 2;channel_id=000000068;Дубль 3;channel_id=000000098;>СТС (+4)<;channel_id=000001561;>ТНТ (+4)<;channel_id=000001423;>Карусель (+7)<;channel_id=000001427
Йошкар-Ола;МСК;UTC+3;БАЗОВЫЙ;channel_id=000000004;БАЗОВЫЙ;channel_id=000000089;БАЗОВЫЙ;channel_id=000000002;БАЗОВЫЙ;channel_id=000000066;БАЗОВЫЙ;channel_id=000000095;>СТС<;channel_id=000000107;>ТНТ<;channel_id=000000121;>Карусель<;channel_id=000000157
Казань;МСК;UTC+3;БАЗОВЫЙ;channel_id=000000004;БАЗОВЫЙ;channel_id=000000089;БАЗОВЫЙ;channel_id=000000002;БАЗОВЫЙ;channel_id=000000066;БАЗОВЫЙ;channel_id=000000095;>СТС<;channel_id=000000107;>ТНТ<;channel_id=000000121;>Карусель<;channel_id=000000157
Калининград;МСК?1;UTC+2;БАЗОВЫЙ;channel_id=000000004;БАЗОВЫЙ;channel_id=000000089;БАЗОВЫЙ;channel_id=000000002;БАЗОВЫЙ;channel_id=000000066;БАЗОВЫЙ;channel_id=000000095;>СТС<;channel_id=000000107;>ТНТ<;channel_id=000000121;>Карусель<;channel_id=000000157
Калуга;МСК;UTC+3;БАЗОВЫЙ;channel_id=000000004;БАЗОВЫЙ;channel_id=000000089;БАЗОВЫЙ;channel_id=000000002;БАЗОВЫЙ;channel_id=000000066;БАЗОВЫЙ;channel_id=000000095;>СТС<;channel_id=000000107;>ТНТ<;channel_id=000000121;>Карусель<;channel_id=000000157
Кемерово;МСК+4;UTC+7;Орбита 3;channel_id=000000088;Орбита 4;channel_id=000001129;Спутник 4;channel_id=000000081;Дубль 2;channel_id=000000068;Дубль 3;channel_id=000000098;>СТС (+4)<;channel_id=000001561;>ТНТ (+4)<;channel_id=000001423;>Карусель (+3)<;channel_id=000001426
Киров;МСК;UTC+3;БАЗОВЫЙ;channel_id=000000004;БАЗОВЫЙ;channel_id=000000089;БАЗОВЫЙ;channel_id=000000002;БАЗОВЫЙ;channel_id=000000066;БАЗОВЫЙ;channel_id=000000095;>СТС<;channel_id=000000107;>ТНТ<;channel_id=000000121;>Карусель<;channel_id=000000157
Кострома;МСК;UTC+3;БАЗОВЫЙ;channel_id=000000004;БАЗОВЫЙ;channel_id=000000089;БАЗОВЫЙ;channel_id=000000002;БАЗОВЫЙ;channel_id=000000066;БАЗОВЫЙ;channel_id=000000095;>СТС<;channel_id=000000107;>ТНТ<;channel_id=000000121;>Карусель<;channel_id=000000157
Краснодар;МСК;UTC+3;БАЗОВЫЙ;channel_id=000000004;БАЗОВЫЙ;channel_id=000000089;БАЗОВЫЙ;channel_id=000000002;БАЗОВЫЙ;channel_id=000000066;БАЗОВЫЙ;channel_id=000000095;>СТС<;channel_id=000000107;>ТНТ<;channel_id=000000121;>Карусель<;channel_id=000000157
Красноярск;МСК+4;UTC+7;Орбита 3;channel_id=000000088;Орбита 4;channel_id=000001129;Спутник 4;channel_id=000000081;Дубль 2;channel_id=000000068;Дубль 3;channel_id=000000098;>СТС (+4)<;channel_id=000001561;>ТНТ (+4)<;channel_id=000001423;>Карусель (+3)<;channel_id=000001426
Курган;МСК+2;UTC+5;Орбита 4;channel_id=000000005;Орбита 2;channel_id=000000533;Спутник 2;channel_id=000000080;Дубль 3;channel_id=000000069;Дубль 4;channel_id=000000099;>СТС (+2)<;channel_id=000001467;>ТНТ (+2)<;channel_id=000000121;>Карусель (+2)<;channel_id=000001459
Курск;МСК;UTC+3;БАЗОВЫЙ;channel_id=000000004;БАЗОВЫЙ;channel_id=000000089;БАЗОВЫЙ;channel_id=000000002;БАЗОВЫЙ;channel_id=000000066;БАЗОВЫЙ;channel_id=000000095;>СТС<;channel_id=000000107;>ТНТ<;channel_id=000000121;>Карусель<;channel_id=000000157
Кызыл;МСК+4;UTC+7;Орбита 3;channel_id=000000088;Орбита 4;channel_id=000001129;Спутник 4;channel_id=000000081;Дубль 2;channel_id=000000068;Дубль 3;channel_id=000000098;>СТС (+4)<;channel_id=000001561;>ТНТ (+4)<;channel_id=000001423;>Карусель (+3)<;channel_id=000001426
